uid,movieid,rating
1,6,2.0348386117789383
1,91,4.103237966609392
1,92,2.983202705337776
1,96,3.7865800525186954
1,97,4.084386549468214
1,98,4.393749121216308
1,100,4.371265790066755
1,102,3.0325290767495656
1,103,2.250746415522526
1,104,1.820622616584878
1,107,3.666291099451303
1,108,3.619674538294524
1,112,1.335255653376861
1,113,3.4316186317497226
1,114,4.18497629296764
1,117,3.5910120155935092
1,118,2.784710225764064
1,120,1.7901896866788323
1,121,3.5936006311327384
1,125,3.161910762128585
1,128,4.173258770492812
1,129,3.8650325938002315
1,130,3.16403301634221
1,132,3.994983672291625
1,134,4.204979024557102
1,140,2.9371652865441136
1,272,4.6
1,267,3.3242285603334225
1,266,1.9269390875905366
1,143,3.8364558417552006
1,90,3.8340979565719286
1,265,3.8242784566071606
1,86,4.191300601383651
1,84,2.78625876268382
1,24,3.7844058875453177
1,27,3.2366631928214047
1,31,4.0
1,33,3.807085185271022
1,36,2.5557724076206894
1,39,3.2564168720893787
1,44,3.4183027832005033
1,47,4.000950140871384
1,49,3.4556731541598342
1,51,3.7492023204397693
1,53,3.9790531489957113
1,54,2.835122173431221
1,56,4.595329528330952
1,60,4.80463317253147
1,61,3.831015116127103
1,62,4.0653885045907545
1,64,4.446701062000244
1,65,3.973708318243459
1,67,2.808252972078574
1,69,4.05971224571946
1,70,3.4395941872577054
1,72,3.39469552003793
1,73,2.8463392278236475
1,74,2.7324078356483055
1,76,3.818841555672797
1,78,1.389030273184657
1,80,2.391850085873175
1,81,3.819938586709961
1,82,3.5522995938171853
1,85,3.000070082829607
1,264,2.802037679310925
1,262,3.1612605462910284
1,260,3.0000000000000004
1,210,3.995346785626744
1,209,4.379893556698024
1,208,4.2680722626435506
1,206,4.117159011674601
1,202,3.8868014877115793
1,154,3.5797337019185855
1,201,4.266711837606141
1,200,3.606009592712838
1,196,3.224042098940549
1,193,4.167897990387275
1,190,3.983621569989082
1,189,4.182657454946331
1,188,3.387099646606363
1,155,1.7792372224147062
1,186,3.247806247798529
1,185,4.170228989383162
1,184,3.4059868752202744
1,157,4.355602695881317
1,183,4.387393218384016
1,180,3.9681635650607823
1,177,4.75280589023985
1,175,4.179112689017735
1,174,4.598585283072352
1,171,4.2021322548569415
1,159,3.400247494632449
1,170,4.605171566692936
1,164,3.8168534112335677
1,163,2.55101165577383
1,161,3.4172155427439233
1,212,3.6418824010488153
1,213,3.994749204988534
1,214,3.3861835978254513
1,215,4.409405535154601
1,259,2.794045789036094
1,258,3.8000000000000007
1,255,3.0601840091223695
1,254,1.70847451545652
1,145,2.4452479750740115
1,253,2.682597399473837
1,252,3.1675247279772343
1,250,3.140042305682473
1,248,4.161401645099608
1,148,3.058549881803511
1,243,2.4106048076206323
1,242,3.6
1,241,3.6423185361408636
1,236,3.8364994416946994
1,23,4.718034046194859
1,235,3.0340823793821468
1,232,3.63890773641937
1,230,3.4180647171066676
1,229,3.465934825675049
1,150,3.53819163198894
1,228,3.890572232003893
1,227,3.811727177104215
1,226,3.648994527188251
1,225,2.9670339743343526
1,224,3.1707652432389506
1,151,3.2148389977112033
1,222,3.5645450160468104
1,221,3.002712529691957
1,219,4.784283989844195
1,218,3.3392687781897297
1,233,3.8200395558595486
1,20,3.786355651622678
1,160,3.1790149820764557
1,14,4.228018431653004
1,10,3.7893599778398777
1,12,4.831655631990122
1,17,3.722943330655747
2,314,1.0
2,313,3.60707334099152
2,315,4.388150172477314
2,316,4.206738396097739
2,307,2.7962444302746503
2,303,4.378752705682468
2,301,3.2
2,299,2.8514815153895685
2,298,3.1818125344004176
2,312,3.2651856343163272
2,297,3.992826154233571
2,290,3.214142447200459
2,281,2.6559789173097195
2,280,2.8936683018357683
2,279,3.083882763778799
2,257,3.8141500723576724
2,251,4.413046135543224
2,50,4.0
2,19,3.7847953532603573
2,13,3.4342979503177755
2,292,3.742789235352259
2,308,2.695885263201349
3,299,2.701819334860169
3,307,2.7617088669148218
3,272,4.207150928367319
3,327,2.2220017853000127
3,245,3.2000000000000006
3,348,2.991279016926399
3,351,3.162219059441958
3,345,3.5191764943184767
3,343,1.6278214988974544
3,341,3.3549430609341013
3,337,2.3973320387969794
3,335,3.2986437746066235
3,354,3.4070169832749255
3,349,3.3755158356088035
3,334,2.7343912027634047
3,331,3.185275575050027
3,330,2.9194187557271327
3,328,4.3999999999999995
3,324,3.272008919706587
3,323,3.3999999999999995
3,318,4.6
3,300,3.4000000000000004
3,294,4.0
3,332,3.1999999999999997
3,264,3.0
3,350,3.2228781448593558
4,303,4.3999999999999995
4,294,2.9999999999999987
4,357,4.3999999999999995
4,356,2.972467345503095
4,288,3.0000000000000004
4,361,2.5483185162156485
4,50,4.000000000000001
4,354,4.428253135670283
4,264,2.4000000000000004
4,260,2.2114899293365884
5,441,2.9735274691094005
5,402,2.6319278270461988
5,403,3.184793561310501
5,407,2.1643507241996462
5,410,3.587707744380606
5,411,3.6297634843801534
5,413,2.4202625791355175
5,417,2.0069251726781316
5,418,3.0000000000000004
5,457,1.8665233367108953
5,454,2.276817634596467
5,421,3.754394441276845
5,422,2.7930346076326233
5,453,1.8407365527269317
5,423,3.6071966393812382
5,424,1.6083112461752374
5,445,4.012973171542026
5,17,3.817946042024457
5,426,2.7025442478408217
5,428,3.262440160571425
5,429,4.023142289869099
5,433,3.6223752817326758
5,435,3.761949067527692
5,436,3.235643200629768
5,439,1.0
5,444,2.4362803410323
5,400,2.996662274626388
5,173,4.401814697901748
5,176,4.642900679274502
5,167,2.983812965989578
5,153,3.5954949125297033
5,144,3.369078980549311
5,211,4.267780071601442
5,139,2.576197206476462
5,110,2.19616419064303
5,231,2.8190520285035148
5,94,2.9838345803805533
5,89,4.260751397004365
5,234,3.8657792876908
5,363,2.8347040655370686
5,364,2.392177336641151
5,79,4.011292358264358
5,369,3.011868284356496
